UniqueID	Blank	Samplepath	Blank1	Blank2	abs
CBLANK1	Blank	cabral\Group001Sample0001BEM.dat	cabral\Group002Sample0001BEM.dat	cabral\Group003Sample0001BEM.dat	cabral\Group001Sample0001ABS.dat
C17_L_D_3_30_0700	Sample	cabral\Group001Sample0001SEM.dat	cabral\Group001Sample0001BEM.dat	cabral\Group002Sample0001BEM.dat	cabral\Group001Sample0001ABS.dat
C09_H_D_3_30_1300	Sample	cabral\Group001Sample0002SEM.dat	cabral\Group001Sample0001BEM.dat	cabral\Group002Sample0001BEM.dat	cabral\Group001Sample0002ABS.dat
C20_L_D_3_30_0700	Sample	cabral\Group001Sample0003SEM.dat	cabral\Group001Sample0001BEM.dat	cabral\Group002Sample0001BEM.dat	cabral\Group001Sample0003ABS.dat
C02_L_D_3_30_0700	Sample	cabral\Group001Sample0004SEM.dat	cabral\Group001Sample0001BEM.dat	cabral\Group002Sample0001BEM.dat	cabral\Group001Sample0004ABS.dat
C10_H_D_3_30_1300	Sample	cabral\Group001Sample0005SEM.dat	cabral\Group001Sample0001BEM.dat	cabral\Group002Sample0001BEM.dat	cabral\Group001Sample0005ABS.dat
C18_H_D_3_30_1300	Sample	cabral\Group001Sample0006SEM.dat	cabral\Group001Sample0001BEM.dat	cabral\Group002Sample0001BEM.dat	cabral\Group001Sample0006ABS.dat
C11_H_D_3_30_1300	Sample	cabral\Group001Sample0007SEM.dat	cabral\Group001Sample0001BEM.dat	cabral\Group002Sample0001BEM.dat	cabral\Group001Sample0007ABS.dat
CBLANK2	Blank	cabral\Group002Sample0001BEM.dat	cabral\Group003Sample0001BEM.dat	cabral\Group004Sample0001BEM.dat	cabral\Group002Sample0001ABS.dat
C03_L_D_3_30_0700	Sample	cabral\Group002Sample0001SEM.dat	cabral\Group002Sample0001BEM.dat	cabral\Group003Sample0001BEM.dat	cabral\Group002Sample0001ABS.dat
C04_L_D_3_30_0700	Sample	cabral\Group002Sample0002SEM.dat	cabral\Group002Sample0001BEM.dat	cabral\Group003Sample0001BEM.dat	cabral\Group002Sample0002ABS.dat
C_SeepD_3_30_1300	Sample	cabral\Group002Sample0003SEM.dat	cabral\Group002Sample0001BEM.dat	cabral\Group003Sample0001BEM.dat	cabral\Group002Sample0003ABS.dat
C_SeepB_3_30_0700	Sample	cabral\Group002Sample0004SEM.dat	cabral\Group002Sample0001BEM.dat	cabral\Group003Sample0001BEM.dat	cabral\Group002Sample0004ABS.dat
C17_H_D_3_30_1300	Sample	cabral\Group002Sample0005SEM.dat	cabral\Group002Sample0001BEM.dat	cabral\Group003Sample0001BEM.dat	cabral\Group002Sample0005ABS.dat
CPit_F_3_30_0700	Sample	cabral\Group002Sample0006SEM.dat	cabral\Group002Sample0001BEM.dat	cabral\Group003Sample0001BEM.dat	cabral\Group002Sample0006ABS.dat
C12_H_D_3_30_1300	Sample	cabral\Group002Sample0007SEM.dat	cabral\Group002Sample0001BEM.dat	cabral\Group003Sample0001BEM.dat	cabral\Group002Sample0007ABS.dat
CBLANK3	Blank	cabral\Group003Sample0001BEM.dat	cabral\Group002Sample0001BEM.dat	cabral\Group003Sample0001BEM.dat	cabral\Group003Sample0001ABS.dat
C16_H_N_3_31_0100	Sample	cabral\Group003Sample0001SEM.dat	cabral\Group003Sample0001BEM.dat	cabral\Group004Sample0001BEM.dat	cabral\Group003Sample0001ABS.dat
C05_H_D_3_30_1300	Sample	cabral\Group003Sample0002SEM.dat	cabral\Group003Sample0001BEM.dat	cabral\Group004Sample0001BEM.dat	cabral\Group003Sample0002ABS.dat
CPitBottom_B_3_30_1300	Sample	cabral\Group003Sample0003SEM.dat	cabral\Group003Sample0001BEM.dat	cabral\Group004Sample0001BEM.dat	cabral\Group003Sample0003ABS.dat
C08_L_D_3_30_0700	Sample	cabral\Group003Sample0004SEM.dat	cabral\Group003Sample0001BEM.dat	cabral\Group004Sample0001BEM.dat	cabral\Group003Sample0004ABS.dat
C14_L_D_3_30_0700	Sample	cabral\Group003Sample0005SEM.dat	cabral\Group003Sample0001BEM.dat	cabral\Group004Sample0001BEM.dat	cabral\Group003Sample0005ABS.dat
C13_L_D_3_30_0700	Sample	cabral\Group003Sample0006SEM.dat	cabral\Group003Sample0001BEM.dat	cabral\Group004Sample0001BEM.dat	cabral\Group003Sample0006ABS.dat
CReefcrest_C_3_29_1300	Sample	cabral\Group003Sample0007SEM.dat	cabral\Group003Sample0001BEM.dat	cabral\Group004Sample0001BEM.dat	cabral\Group003Sample0007ABS.dat
CBLANK4	Blank	cabral\Group004Sample0001BEM.dat	cabral\Group002Sample0001BEM.dat	cabral\Group003Sample0001BEM.dat	cabral\Group004Sample0001ABS.dat
C19_HD_3_30_1300	Sample	cabral\Group004Sample0001SEM.dat	cabral\Group004Sample0001BEM.dat	cabral\Group005Sample0001BEM.dat	cabral\Group004Sample0001ABS.dat
C04_H_D_3_30_1300	Sample	cabral\Group004Sample0002SEM.dat	cabral\Group004Sample0001BEM.dat	cabral\Group005Sample0001BEM.dat	cabral\Group004Sample0002ABS.dat
C06_H_D_3_30_1300	Sample	cabral\Group004Sample0003SEM.dat	cabral\Group004Sample0001BEM.dat	cabral\Group005Sample0001BEM.dat	cabral\Group004Sample0003ABS.dat
CPit_G_3_30_1300	Sample	cabral\Group004Sample0004SEM.dat	cabral\Group004Sample0001BEM.dat	cabral\Group005Sample0001BEM.dat	cabral\Group004Sample0004ABS.dat
CPit_E_3_29_1900	Sample	cabral\Group004Sample0005SEM.dat	cabral\Group004Sample0001BEM.dat	cabral\Group005Sample0001BEM.dat	cabral\Group004Sample0005ABS.dat
C01_L_D_3_30_0700	Sample	cabral\Group004Sample0006SEM.dat	cabral\Group004Sample0001BEM.dat	cabral\Group005Sample0001BEM.dat	cabral\Group004Sample0006ABS.dat
C16_H_D_3_30_1300	Sample	cabral\Group004Sample0007SEM.dat	cabral\Group004Sample0001BEM.dat	cabral\Group005Sample0001BEM.dat	cabral\Group004Sample0007ABS.dat
CBLANK5	Blank	cabral\Group005Sample0001BEM.dat	cabral\Group002Sample0001BEM.dat	cabral\Group003Sample0001BEM.dat	cabral\Group005Sample0001ABS.dat
C14_H_D_3_30_1300	Sample	cabral\Group005Sample0001SEM.dat	cabral\Group005Sample0001BEM.dat	cabral\Group006Sample0001BEM.dat	cabral\Group005Sample0001ABS.dat
C06_L_D_3_30_0700	Sample	cabral\Group005Sample0002SEM.dat	cabral\Group005Sample0001BEM.dat	cabral\Group006Sample0001BEM.dat	cabral\Group005Sample0002ABS.dat
CPit_D_3_30_0100	Sample	cabral\Group005Sample0003SEM.dat	cabral\Group005Sample0001BEM.dat	cabral\Group006Sample0001BEM.dat	cabral\Group005Sample0003ABS.dat
C_SeepC_3_30_1000	Sample	cabral\Group005Sample0004SEM.dat	cabral\Group005Sample0001BEM.dat	cabral\Group006Sample0001BEM.dat	cabral\Group005Sample0004ABS.dat
